review_reasons,state,county,agency,facility_guess,facility_name,source,match_type,match_score,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
missing_coordinates; state_level_fuzzy; jails_prisons_source,Alabama,Frankin County,Franklin County Sheriff's Office,Franklin County Jail,Franklin County Jail,jails_prisons,fuzzy_state_facility,1,748 Walnut Gate Road,Russellville,NA,NA,NA
low_confidence_fuzzy,Florida,Pasco County,Pasco County Board of County Commissioners/ Pasco County Corrections,Pasco County Board Of County Commissioners/ Pasco County Corrections,PASCO COUNTY SHERIFFS OFFICE / PASCO COUNTY DETENTION FACILITY WEST JAIL,hifld,fuzzy_county_facility,0.7888789505068575,8700 CITIZEN DRIVE,NEW PORT RICHEY,Pasco,28.2681159,-82.6699356
low_confidence_fuzzy,Florida,Volusia County,Volusia County Division of Corrections,Volusia County Division Of Corrections,VOLUSIA COUNTY SHERIFF - CIVIL DIVISION,hifld,fuzzy_county_facility,0.846994301994302,101 CANAL STREET,NEW SMYRNA BEACH,Volusia,29.0257628,-80.9213051
state_level_fuzzy,Virginia,Alleghany County,Alleghany County Sheriff's Office,Alleghany County Jail,ALLEGHANY REGIONAL JAIL,hifld_prisons,fuzzy_state_facility,0.9007326007326006,268 W MAIN ST,COVINGTON,Covington,37.79276602295681,-79.99573079150215
state_level_fuzzy,Louisiana,Ouachita Parish,Ouachita Parish Sheriff's Office,Ouachita Parish Jail,OUACHITA PARISH SHERIFFS OFFICE,hifld,fuzzy_state_facility,0.903030303030303,"400 SAINT JOHN STREET, SUITE 301",MONROE,Ouachita,32.498650935,-92.115694229
state_level_fuzzy,Louisiana,Calacasieu Parish,Calcasieu Parish Sheriff's Office,Calcasieu Parish Jail,CALCASIEU PARISH SHERIFFS DEPARTMENT,hifld,fuzzy_state_facility,0.9075514874141877,5400 EAST BROAD STREET,LAKE CHARLES,Calcasieu,30.2270933,-93.141241
state_level_fuzzy,Louisiana,Lafayette Parish,Lafayette Parish Sheriff's Office,Lafayette Parish Jail,LAFAYETTE PARISH SHERIFFS DEPARTMENT,hifld,fuzzy_state_facility,0.9075514874141877,316 WEST MAIN STREET,LAFAYETTE,Lafayette,30.2231079,-92.0216074
state_level_fuzzy,Louisiana,Lafourche Parish,Lafourche Parish Sheriff's Office,Lafourche Parish Jail,LAFOURCHE PARISH SHERIFFS DEPARTMENT,hifld,fuzzy_state_facility,0.9075514874141877,200 CANAL BOULEVARD,THIBODAUX,Lafourche,29.797976461,-90.818596307000007
state_level_fuzzy,Louisiana,Plaquemines Parish,Plaquemines Parish Sheriff's Office,Plaquemines Parish Jail,PLAQUEMINES PARISH SHERIFFS OFFICE,hifld,fuzzy_state_facility,0.9154285714285714,301 MAIN STREET,BELLE CHASSE,Plaquemines,29.8568444,-89.9835302
state_level_fuzzy,Louisiana,German Coast County,St. Charles Parish Sheriff's Office,St. Charles Parish Jail,SAINT CHARLES PARISH SHERIFFS DEPARTMENT,hifld,fuzzy_state_facility,0.9188811188811188,15045 RIVER ROAD,HAHNVILLE,St. Charles,29.9637814,-90.4065549
